synset,label,idx
n02115913,"dhole, Cuon alpinus
",274
n02486410,"baboon
",372
n02487347,"macaque
",373
n02099849,"Chesapeake Bay retriever
",209
n02108422,"bull mastiff
",243
n02104029,"kuvasz
",222
n02492035,"capuchin, ringtail, Cebus capucinus
",378
n02110958,"pug, pug-dog
",254
n02099429,"curly-coated retriever
",206
n02094258,"Norwich terrier
",186
n02099267,"flat-coated retriever
",205
n02395406,"hog, pig, grunter, squealer, Sus scrofa
",341
n02112350,"keeshond
",261
n02109961,"Eskimo dog, husky
",248
n02101388,"Brittany spaniel
",215
n02113799,"standard poodle
",267
n02095570,"Lakeland terrier
",189
n02128757,"snow leopard, ounce, Panthera uncia
",289
n02101006,"Gordon setter
",214
n02115641,"dingo, warrigal, warragal, Canis dingo
",273
n02097209,"standard schnauzer
",198
n02342885,"hamster
",333
n02097474,"Tibetan terrier, chrysanthemum dog
",200
n02120079,"Arctic fox, white fox, Alopex lagopus
",279
n02095314,"wire-haired fox terrier
",188
n02088238,"basset, basset hound
",161
n02408429,"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis
",346
n02133161,"American black bear, black bear, Ursus americanus, Euarctos americanus
",295
n02328150,"Angora, Angora rabbit
",332
n02410509,"bison
",347
n02492660,"howler monkey, howler
",379
n02398521,"hippopotamus, hippo, river horse, Hippopotamus amphibius
",344
n02112137,"chow, chow chow
",260
n02510455,"giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca
",388
n02093428,"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier
",180
n02105855,"Shetland sheepdog, Shetland sheep dog, Shetland
",230
n02111500,"Great Pyrenees
",257
n02085620,"Chihuahua
",151
n02123045,"tabby, tabby cat
",281
n02490219,"marmoset
",377
n02099712,"Labrador retriever
",208
n02109525,"Saint Bernard, St Bernard
",247
n02454379,"armadillo
",363
n02111889,"Samoyed, Samoyede
",258
n02088632,"bluetick
",164
n02090379,"redbone
",168
n02443114,"polecat, fitch, foulmart, foumart, Mustela putorius
",358
n02361337,"marmot
",336
n02105412,"kelpie
",227
n02483362,"gibbon, Hylobates lar
",368
n02437616,"llama
",355
n02107312,"miniature pinscher
",237
n02325366,"wood rabbit, cottontail, cottontail rabbit
",330
n02091032,"Italian greyhound
",171
n02129165,"lion, king of beasts, Panthera leo
",291
n02102318,"cocker spaniel, English cocker spaniel, cocker
",219
n02100877,"Irish setter, red setter
",213
n02074367,"dugong, Dugong dugon
",149
n02504013,"Indian elephant, Elephas maximus
",385
n02363005,"beaver
",337
n02102480,"Sussex spaniel
",220
n02113023,"Pembroke, Pembroke Welsh corgi
",263
n02086646,"Blenheim spaniel
",156
n02497673,"Madagascar cat, ring-tailed lemur, Lemur catta
",383
n02087394,"Rhodesian ridgeback
",159
n02127052,"lynx, catamount
",287
n02116738,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus
",275
n02488291,"langur
",374
n02091244,"Ibizan hound, Ibizan Podenco
",173
n02114367,"timber wolf, grey wolf, gray wolf, Canis lupus
",269
n02130308,"cheetah, chetah, Acinonyx jubatus
",293
n02089973,"English foxhound
",167
n02105251,"briard
",226
n02134418,"sloth bear, Melursus ursinus, Ursus ursinus
",297
n02093754,"Border terrier
",182
n02106662,"German shepherd, German shepherd dog, German police dog, alsatian
",235
n02444819,"otter
",360
n01882714,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus
",105
n01871265,"tusker
",101
n01872401,"echidna, spiny anteater, anteater
",102
n01877812,"wallaby, brush kangaroo
",104
n01873310,"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus
",103
n01883070,"wombat
",106
n04086273,"revolver, six-gun, six-shooter
",763
n04507155,"umbrella
",879
n04147183,"schooner
",780
n04254680,"soccer ball
",805
n02672831,"accordion, piano accordion, squeeze box
",401
n02219486,"ant, emmet, pismire
",310
n02317335,"starfish, sea star
",327
n01968897,"chambered nautilus, pearly nautilus, nautilus
",117
n03452741,"grand piano, grand
",579
n03642806,"laptop, laptop computer
",620
n07745940,"strawberry
",949
n02690373,"airliner
",404
n04552348,"warplane, military plane
",895
n02692877,"airship, dirigible
",405
n02782093,"balloon
",417
n04266014,"space shuttle
",812
n03344393,"fireboat
",554
n03447447,"gondola
",576
n04273569,"speedboat
",814
n03662601,"lifeboat
",625
n02951358,"canoe
",472
n04612504,"yawl
",914
n02981792,"catamaran
",484
n04483307,"trimaran
",871
n03095699,"container ship, containership, container vessel
",510
n03673027,"liner, ocean liner
",628
n03947888,"pirate, pirate ship
",724
n02687172,"aircraft carrier, carrier, flattop, attack aircraft carrier
",403
n04347754,"submarine, pigboat, sub, U-boat
",833
n04606251,"wreck
",913
n03478589,"half track
",586
n04389033,"tank, army tank, armored combat vehicle, armoured combat vehicle
",847
n03773504,"missile
",657
n02860847,"bobsled, bobsleigh, bob
",450
n03218198,"dogsled, dog sled, dog sleigh
",537
n02835271,"bicycle-built-for-two, tandem bicycle, tandem
",444
n03792782,"mountain bike, all-terrain bike, off-roader
",671
n03393912,"freight car
",565
n03895866,"passenger car, coach, carriage
",705
n02797295,"barrow, garden cart, lawn cart, wheelbarrow
",428
n04204347,"shopping cart
",791
n03791053,"motor scooter, scooter
",670
n03384352,"forklift
",561
n03272562,"electric locomotive
",547
n04310018,"steam locomotive
",820
n02704792,"amphibian, amphibious vehicle
",408
n02701002,"ambulance
",407
n02814533,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon
",436
n02930766,"cab, hack, taxi, taxicab
",468
n03100240,"convertible
",511
n03594945,"jeep, landrover
",609
n03670208,"limousine, limo
",627
n03770679,"minivan
",656
n03777568,"Model T
",661
n04037443,"racer, race car, racing car
",751
n04285008,"sports car, sport car
",817
n03444034,"go-kart
",573
n03445924,"golfcart, golf cart
",575
n03785016,"moped
",665
n04252225,"snowplow, snowplough
",803
n03345487,"fire engine, fire truck
",555
n03417042,"garbage truck, dustcart
",569
n03930630,"pickup, pickup truck
",717
n04461696,"tow truck, tow car, wrecker
",864
n04467665,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi
",867
n03796401,"moving van
",675
n03977966,"police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria
",734
n04065272,"recreational vehicle, RV, R.V.
",757
n04335435,"streetcar, tram, tramcar, trolley, trolley car
",829
n04252077,"snowmobile
",802
n04465501,"tractor
",866
n03776460,"mobile home, manufactured home
",660
n04482393,"tricycle, trike, velocipede
",870
n04509417,"unicycle, monocycle
",880
n03538406,"horse cart, horse-cart
",603
n03599486,"jinrikisha, ricksha, rickshaw
",612
n03868242,"oxcart
",690
n02804414,"bassinet
",431
n03125729,"cradle
",516
n03131574,"crib, cot
",520
n03388549,"four-poster
",564
n02870880,"bookcase
",453
n03018349,"china cabinet, china closet
",495
n03742115,"medicine chest, medicine cabinet
",648
n03016953,"chiffonier, commode
",493
n04380533,"table lamp
",846
n03337140,"file, file cabinet, filing cabinet
",553
n03891251,"park bench
",703
n02791124,"barber chair
",423
n04429376,"throne
",857
n03376595,"folding chair
",559
n04099969,"rocking chair, rocker
",765
n04344873,"studio couch, day bed
",831
n04447861,"toilet seat
",861
n03179701,"desk
",526
n03982430,"pool table, billiard table, snooker table
",736
n03201208,"dining table, board
",532
n03290653,"entertainment center
",548
n04550184,"wardrobe, closet, press
",894
n07742313,"Granny Smith
",948
n07747607,"orange
",950
n07749582,"lemon
",951
n07753113,"fig
",952
n07753275,"pineapple, ananas
",953
n07753592,"banana
",954
n07754684,"jackfruit, jak, jack
",955
n07760859,"custard apple
",956
n07768694,"pomegranate
",957
n12267677,"acorn
",988
n12620546,"hip, rose hip, rosehip
",989
n13133613,"ear, spike, capitulum
",998
n11879895,"rapeseed
",984
n12144580,"corn
",987
n12768682,"buckeye, horse chestnut, conker
",990
n03854065,"organ, pipe organ
",687
n04515003,"upright, upright piano
",881
n03017168,"chime, bell, gong
",494
n03249569,"drum, membranophone, tympan
",541
n03447721,"gong, tam-tam
",577
n03720891,"maraca
",641
n03721384,"marimba, xylophone
",642
n04311174,"steel drum
",822
n02787622,"banjo
",420
n02992211,"cello, violoncello
",486
n04536866,"violin, fiddle
",889
n03495258,"harp
",594
n02676566,"acoustic guitar
",402
n03272010,"electric guitar
",546
n03110669,"cornet, horn, trumpet, trump
",513
n03394916,"French horn, horn
",566
n04487394,"trombone
",875
n03494278,"harmonica, mouth organ, harp, mouth harp
",593
n03840681,"ocarina, sweet potato
",684
n03884397,"panpipe, pandean pipe, syrinx
",699
n02804610,"bassoon
",432
n03838899,"oboe, hautboy, hautbois
",683
n04141076,"sax, saxophone
",776
n03372029,"flute, transverse flute
",558
n11939491,"daisy
",985
n12057211,"yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum
",986
n09246464,"cliff, drop, drop-off
",972
n09468604,"valley, vale
",979
n09193705,"alp
",970
n09472597,"volcano
",980
n09399592,"promontory, headland, head, foreland
",976
n09421951,"sandbar, sand bar
",977
n09256479,"coral reef
",973
n09332890,"lakeside, lakeshore
",975
n09428293,"seashore, coast, seacoast, sea-coast
",978
n09288635,"geyser
",974
n03498962,"hatchet
",596
n03041632,"cleaver, meat cleaver, chopper
",499
n03658185,"letter opener, paper knife, paperknife
",623
n03954731,"plane, carpenter's plane, woodworking plane
",726
n03995372,"power drill
",740
n03649909,"lawn mower, mower
",621
n03481172,"hammer
",587
n03109150,"corkscrew, bottle screw
",512
n02951585,"can opener, tin opener
",473
n03970156,"plunger, plumber's helper
",731
n04154565,"screwdriver
",784
n04208210,"shovel
",792
n03967562,"plow, plough
",730
n03000684,"chain saw, chainsaw
",491
n01514668,"cock
",7
n01514859,"hen
",8
n01518878,"ostrich, Struthio camelus
",9
n01530575,"brambling, Fringilla montifringilla
",10
n01531178,"goldfinch, Carduelis carduelis
",11
n01532829,"house finch, linnet, Carpodacus mexicanus
",12
n01534433,"junco, snowbird
",13
n01537544,"indigo bunting, indigo finch, indigo bird, Passerina cyanea
",14
n01558993,"robin, American robin, Turdus migratorius
",15
n01560419,"bulbul
",16
n01580077,"jay
",17
n01582220,"magpie
",18
n01592084,"chickadee
",19
n01601694,"water ouzel, dipper
",20
n01608432,"kite
",21
n01614925,"bald eagle, American eagle, Haliaeetus leucocephalus
",22
n01616318,"vulture
",23
n01622779,"great grey owl, great gray owl, Strix nebulosa
",24
n01795545,"black grouse
",80
n01796340,"ptarmigan
",81
n01797886,"ruffed grouse, partridge, Bonasa umbellus
",82
n01798484,"prairie chicken, prairie grouse, prairie fowl
",83
n01806143,"peacock
",84
n01806567,"quail
",85
n01807496,"partridge
",86
n01817953,"African grey, African gray, Psittacus erithacus
",87
n01818515,"macaw
",88
n01819313,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita
",89
n01820546,"lorikeet
",90
n01824575,"coucal
",91
n01828970,"bee eater
",92
n01829413,"hornbill
",93
n01833805,"hummingbird
",94
n01843065,"jacamar
",95
n01843383,"toucan
",96
n01847000,"drake
",97
n01855032,"red-breasted merganser, Mergus serrator
",98
n01855672,"goose
",99
n01860187,"black swan, Cygnus atratus
",100
n02002556,"white stork, Ciconia ciconia
",127
n02002724,"black stork, Ciconia nigra
",128
n02006656,"spoonbill
",129
n02007558,"flamingo
",130
n02009912,"American egret, great white heron, Egretta albus
",132
n02009229,"little blue heron, Egretta caerulea
",131
n02011460,"bittern
",133
n02012849,"crane
",134
n02013706,"limpkin, Aramus pictus
",135
n02018207,"American coot, marsh hen, mud hen, water hen, Fulica americana
",137
n02018795,"bustard
",138
n02025239,"ruddy turnstone, Arenaria interpres
",139
n02027492,"red-backed sandpiper, dunlin, Erolia alpina
",140
n02028035,"redshank, Tringa totanus
",141
n02033041,"dowitcher
",142
n02037110,"oystercatcher, oyster catcher
",143
n02017213,"European gallinule, Porphyrio porphyrio
",136
n02051845,"pelican
",144
n02056570,"king penguin, Aptenodytes patagonica
",145
n02058221,"albatross, mollymawk
",146
n01484850,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias
",2
n01491361,"tiger shark, Galeocerdo cuvieri
",3
n01494475,"hammerhead, hammerhead shark
",4
n01496331,"electric ray, crampfish, numbfish, torpedo
",5
n01498041,"stingray
",6
n02514041,"barracouta, snoek
",389
n02536864,"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch
",391
n01440764,"tench, Tinca tinca
",0
n01443537,"goldfish, Carassius auratus
",1
n02526121,"eel
",390
n02606052,"rock beauty, Holocanthus tricolor
",392
n02607072,"anemone fish
",393
n02643566,"lionfish
",396
n02655020,"puffer, pufferfish, blowfish, globefish
",397
n02640242,"sturgeon
",394
n02641379,"gar, garfish, garpike, billfish, Lepisosteus osseus
",395
n01664065,"loggerhead, loggerhead turtle, Caretta caretta
",33
n01665541,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea
",34
n01667114,"mud turtle
",35
n01667778,"terrapin
",36
n01669191,"box turtle, box tortoise
",37
n01675722,"banded gecko
",38
n01677366,"common iguana, iguana, Iguana iguana
",39
n01682714,"American chameleon, anole, Anolis carolinensis
",40
n01685808,"whiptail, whiptail lizard
",41
n01687978,"agama
",42
n01688243,"frilled lizard, Chlamydosaurus kingi
",43
n01689811,"alligator lizard
",44
n01692333,"Gila monster, Heloderma suspectum
",45
n01693334,"green lizard, Lacerta viridis
",46
n01694178,"African chameleon, Chamaeleo chamaeleon
",47
n01695060,"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis
",48
n01704323,"triceratops
",51
n01697457,"African crocodile, Nile crocodile, Crocodylus niloticus
",49
n01698640,"American alligator, Alligator mississipiensis
",50
n01728572,"thunder snake, worm snake, Carphophis amoenus
",52
n01728920,"ringneck snake, ring-necked snake, ring snake
",53
n01729322,"hognose snake, puff adder, sand viper
",54
n01729977,"green snake, grass snake
",55
n01734418,"king snake, kingsnake
",56
n01735189,"garter snake, grass snake
",57
n01737021,"water snake
",58
n01739381,"vine snake
",59
n01740131,"night snake, Hypsiglena torquata
",60
n01742172,"boa constrictor, Constrictor constrictor
",61
n01744401,"rock python, rock snake, Python sebae
",62
n01748264,"Indian cobra, Naja naja
",63
n01749939,"green mamba
",64
n01751748,"sea snake
",65
n01753488,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus
",66
n01755581,"diamondback, diamondback rattlesnake, Crotalus adamanteus
",67
n01756291,"sidewinder, horned rattlesnake, Crotalus cerastes
",68
n01629819,"European fire salamander, Salamandra salamandra
",25
n01630670,"common newt, Triturus vulgaris
",26
n01631663,"eft
",27
n01632458,"spotted salamander, Ambystoma maculatum
",28
n01632777,"axolotl, mud puppy, Ambystoma mexicanum
",29
n01641577,"bullfrog, Rana catesbeiana
",30
n01644373,"tree frog, tree-frog
",31
n01644900,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui
",32
n04579432,"whistle
",902
n04592741,"wing
",908
n03876231,"paintbrush
",696
n03483316,"hand blower, blow dryer, blow drier, hair dryer, hair drier
",589
n03868863,"oxygen mask
",691
n04251144,"snorkel
",801
n03691459,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system
",632
n03759954,"microphone, mike
",650
n04152593,"screen, CRT screen
",782
n03793489,"mouse, computer mouse
",673
n03271574,"electric fan, blower
",545
n03843555,"oil filter
",686
n04332243,"strainer
",828
n04265275,"space heater
",811
n04330267,"stove
",827
n03467068,"guillotine
",583
n02794156,"barometer
",426
n04118776,"rule, ruler
",769
n03841143,"odometer, hodometer, mileometer, milometer
",685
n04141975,"scale, weighing machine
",778
n02708093,"analog clock
",409
n03196217,"digital clock
",530
n04548280,"wall clock
",892
n03544143,"hourglass
",604
n04355338,"sundial
",835
n03891332,"parking meter
",704
n04328186,"stopwatch, stop watch
",826
n03197337,"digital watch
",531
n04317175,"stethoscope
",823
n04376876,"syringe
",845
n03706229,"magnetic compass
",635
n02841315,"binoculars, field glasses, opera glasses
",447
n04009552,"projector
",745
n04356056,"sunglasses, dark glasses, shades
",837
n03692522,"loupe, jeweler's loupe
",633
n04044716,"radio telescope, radio reflector
",755
n02879718,"bow
",456
n02950826,"cannon
",471
n02749479,"assault rifle, assault gun
",413
n04090263,"rifle
",764
n04008634,"projectile, missile
",744
n03085013,"computer keyboard, keypad
",508
n04505470,"typewriter keyboard
",878
n03126707,"crane
",517
n03666591,"lighter, light, igniter, ignitor
",626
n02666196,"abacus
",398
n02977058,"cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM
",480
n04238763,"slide rule, slipstick
",798
n03180011,"desktop computer
",527
n03485407,"hand-held computer, hand-held microcomputer
",590
n03832673,"notebook, notebook computer
",681
n06359193,"web site, website, internet site, site
",916
n03496892,"harvester, reaper
",595
n04428191,"thresher, thrasher, threshing machine
",856
n04004767,"printer
",742
n04243546,"slot, one-armed bandit
",800
n04525305,"vending machine
",886
n04179913,"sewing machine
",786
n03602883,"joystick
",613
n04372370,"switch, electric switch, electrical switch
",844
n03532672,"hook, claw
",600
n02974003,"car wheel
",479
n03874293,"paddlewheel, paddle wheel
",694
n03944341,"pinwheel
",723
n03992509,"potter's wheel
",739
n03425413,"gas pump, gasoline pump, petrol pump, island dispenser
",571
n02966193,"carousel, carrousel, merry-go-round, roundabout, whirligig
",476
n04371774,"swing
",843
n04067472,"reel
",758
n04040759,"radiator
",753
n04019541,"puck, hockey puck
",746
n03492542,"hard disc, hard disk, fixed disk
",592
n04355933,"sunglass
",836
n03929660,"pick, plectrum, plectron
",714
n02965783,"car mirror
",475
n04258138,"solar dish, solar collector, solar furnace
",807
n04074963,"remote control, remote
",761
n03208938,"disk brake, disc brake
",535
n02910353,"buckle
",464
n03476684,"hair slide
",584
n03627232,"knot
",616
n03075370,"combination lock
",507
n03874599,"padlock
",695
n03804744,"nail
",677
n04127249,"safety pin
",772
n04153751,"screw
",783
n03803284,"muzzle
",676
n04162706,"seat belt, seatbelt
",785
n04228054,"ski
",795
n02948072,"candle, taper, wax light
",470
n03590841,"jack-o'-lantern
",607
n04286575,"spotlight, spot
",818
n04456115,"torch
",862
n03814639,"neck brace
",678
n03933933,"pier
",718
n04485082,"tripod
",872
n03733131,"maypole
",645
n03794056,"mousetrap
",674
n04275548,"spider web, spider's web
",815
n01768244,"trilobite
",69
n01770081,"harvestman, daddy longlegs, Phalangium opilio
",70
n01770393,"scorpion
",71
n01773157,"black and gold garden spider, Argiope aurantia
",72
n01773549,"barn spider, Araneus cavaticus
",73
n01773797,"garden spider, Aranea diademata
",74
n01774384,"black widow, Latrodectus mactans
",75
n01774750,"tarantula
",76
n01775062,"wolf spider, hunting spider
",77
n01776313,"tick
",78
n01784675,"centipede
",79
n01990800,"isopod
",126
n01978287,"Dungeness crab, Cancer magister
",118
n01978455,"rock crab, Cancer irroratus
",119
n01980166,"fiddler crab
",120
n01981276,"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica
",121
n01983481,"American lobster, Northern lobster, Maine lobster, Homarus americanus
",122
n01984695,"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish
",123
n01985128,"crayfish, crawfish, crawdad, crawdaddy
",124
n01986214,"hermit crab
",125
n02165105,"tiger beetle
",300
n02165456,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle
",301
n02167151,"ground beetle, carabid beetle
",302
n02168699,"long-horned beetle, longicorn, longicorn beetle
",303
n02169497,"leaf beetle, chrysomelid
",304
n02172182,"dung beetle
",305
n02174001,"rhinoceros beetle
",306
n02177972,"weevil
",307
n02190166,"fly
",308
n02206856,"bee
",309
n02226429,"grasshopper, hopper
",311
n02229544,"cricket
",312
n02231487,"walking stick, walkingstick, stick insect
",313
n02233338,"cockroach, roach
",314
n02236044,"mantis, mantid
",315
n02256656,"cicada, cicala
",316
n02259212,"leafhopper
",317
n02264363,"lacewing, lacewing fly
",318
n02268443,"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk
",319
n02268853,"damselfly
",320
n02276258,"admiral
",321
n02277742,"ringlet, ringlet butterfly
",322
n02279972,"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus
",323
n02280649,"cabbage butterfly
",324
n02281406,"sulphur butterfly, sulfur butterfly
",325
n02281787,"lycaenid, lycaenid butterfly
",326
n01910747,"jellyfish
",107
n01914609,"sea anemone, anemone
",108
n01917289,"brain coral
",109
n01924916,"flatworm, platyhelminth
",110
n01930112,"nematode, nematode worm, roundworm
",111
n01943899,"conch
",112
n01944390,"snail
",113
n01945685,"slug
",114
n01950731,"sea slug, nudibranch
",115
n01955084,"chiton, coat-of-mail shell, sea cradle, polyplacophore
",116
n02319095,"sea urchin
",328
n02321529,"sea cucumber, holothurian
",329
n03584829,"iron, smoothing iron
",606
n03297495,"espresso maker
",550
n03761084,"microwave, microwave oven
",651
n03259280,"Dutch oven
",544
n04111531,"rotisserie
",766
n04442312,"toaster
",859
n04542943,"waffle iron
",891
n04517823,"vacuum, vacuum cleaner
",882
n03207941,"dishwasher, dish washer, dishwashing machine
",534
n04070727,"refrigerator, icebox
",760
n04554684,"washer, automatic washer, washing machine
",897
n03133878,"Crock Pot
",521
n03400231,"frying pan, frypan, skillet
",567
n04596742,"wok
",909
n02939185,"caldron, cauldron
",469
n03063689,"coffeepot
",505
n04398044,"teapot
",849
n04270147,"spatula
",813
n02699494,"altar
",406
n04486054,"triumphal arch
",873
n03899768,"patio, terrace
",706
n04311004,"steel arch bridge
",821
n04366367,"suspension bridge
",839
n04532670,"viaduct
",888
n02793495,"barn
",425
n03457902,"greenhouse, nursery, glasshouse
",580
n03877845,"palace
",698
n03781244,"monastery
",663
n03661043,"library
",624
n02727426,"apiary, bee house
",410
n02859443,"boathouse
",449
n03028079,"church, church building
",497
n03788195,"mosque
",668
n04346328,"stupa, tope
",832
n03956157,"planetarium
",727
n04081281,"restaurant, eating house, eating place, eatery
",762
